,Q1,Q1_sec,Q2,Q2_sec,Q3,Q3_sec,,VER_delta,PER_delta,LEC_delta,SAI_delta,NOR_delta,PIA_delta,RUS_delta,TSU_delta,STR_delta,ALO_delta,
VER,3 1:17.478,77.478,12 1:16.387,76.387,18 1:16.048,76.048,,-0.249,-0.395,-0.260,-0.558,-0.351,-0.447,-0.772,-0.468,-0.443,-0.825,
,6 1:17.229,77.229,,,21 1:15.915,75.915,,-0.410,-0.470,-0.247,-0.060,-0.680,-0.768,-0.621,0.089,-0.074,0.129,
,9 1:16.819,76.819,,,,,,-0.432,-0.052,-0.168,-0.482,0.218,0.266,-0.026,-0.654,-0.262,-0.340,
PER,3 1:17.670,77.670,12 1:16.753,76.753,19 1:16.458,76.458,,-0.339,-0.122,-0.265,0.142,-0.371,-0.295,-0.151,0.599,-0.050,-0.070,
,6 1:17.275,77.275,15 1:16.631,76.631,22 1:16.274,76.274,,-0.133,-0.173,0.131,-0.146,-0.282,,,-0.602,-0.284,0.842,
,9 1:16.805,76.805,,,,,,,-0.184,,,,,,,0.421,,
LEC,3 1:17.244,77.244,9 1:16.737,76.737,18 1:16.435,76.435,,,,,,,,,,-0.129,,
,6 1:16.984,76.984,12 1:16.569,76.569,,,,,,,,,,,,,,
,,,15 1:16.304,76.304,,,,,,,,,,,,,,
SAI,3 1:17.289,77.289,9 1:16.671,76.671,15 1:16.331,76.331,,,,,,,,,,,,
,6 1:16.731,76.731,12 1:16.189,76.189,18 1:16.185,76.185,,-0.313,-0.233,-0.162,-0.221,-0.293,-0.311,-0.392,-0.207,-0.117,-0.053,Total Avg Delta
,,,,,,,,,,,,,,,,,,
NOR,3 1:17.781,77.781,10 1:16.750,76.750,16 1:16.597,76.597,,,,,,,,,,,,
,5 1:17.430,77.430,13 1:16.968,76.968,19 1:16.315,76.315,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
PIA,3 1:17.816,77.816,10 1:16.601,76.601,15 1:16.867,76.867,,,,,,,,,,,,
,5 1:17.369,77.369,,,18 1:16.572,76.572,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
RUS,3 1:18.294,78.294,13 1:16.901,76.901,19 1:16.875,76.875,,,,,,,,,,,,
,6 1:17.522,77.522,,,23 1:16.724,76.724,,,,,,,,,,,,
,9 1:17.062,,,,,,,,,,,,,,,,,
TSU,3 1:17.824,77.824,12 1:16.791,76.791,15 1:17.390,77.390,,,,,,,,,,,,
,6 1:17.356,77.356,,,18 1:16.788,76.788,,,,,,,,,,,,
,9 1:17.445,77.445,,,,,,,,,,,,,,,,
STR,4 1:17.893,77.893,13 1:17.114,77.114,21 1:17.201,77.201,,,,,,,,,,,,
,6 1:17.450,77.450,16 1:17.064,77.064,23 1:17.072,77.072,,,,,,,,,,,,
,9 1:17.376,77.376,18 1:16.780,76.780,,,,,,,,,,,,,,
ALO,4 1:17.816,77.816,13 1:16.780,76.780,21 1:17.552,77.552,,,,,,,,,,,,
,6 1:16.991,76.991,15 1:16.710,76.710,,,,,,,,,,,,,,
,10 1:17.120,77.120,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
