1 Max VERSTAPPEN,,MV_Laptime_s,MV_Cumulative,,11 Sergio PEREZ,,SP_Laptime_s,SP_Cumulative,,2 Logan SARGEANT,,LS_Laptime_s,LS_Cumulative,,23 Alex ALBON,,AA_Laptime_s,AA_Cumulative,,4 Lando NORRIS,,LN_Laptime_s,LN_Cumulative,,81 Oscar PIASTRI,,OP_Laptime_s,OP_Cumulative,,10 Pierre GASLY,,PG_Laptime_s,PG_Cumulative,,31 Esteban OCON,,EO_Laptime_s,EO_Cumulative,,13 Fernando ALONSO,,FA_Laptime_s,FA_Cumulative,,18 Lance STROLL,,LS_Laptime_s,LS_Cumulative,,16 Charles LECLERC,,CL_Laptime_s,CL_Cumulative,,55 Carlos SAINZ,,CS_Laptime_s,CL_Cumulative,,20 Kevin MAGNUSSEN,,KM_Laptime_s,KM_Cumulative,,27 Nico HULKENBERG,,NH_Laptime_s,NH_Cumulative,,21 Nyck DE VRIES,,NDV_Laptime_s,NDV_Cumulative,,22 Yuki TSUNODA,,YT_Laptime_s,YT_Cumulative,,24 Guanyu ZHOU,,GZ_Laptime_s,GZ_Cumulative,,77 Valterri BOTTAS,,VB_Laptime_s,VB_Cumulative,,44 Lewis HAMILTON,,LH_Laptime_s,LH_Cumulative,,63 George RUSSELL,,GR_Laptime_s,GR_Cumulative,,,,RBR1,RBR2,SF1,SF2,M-AMG1,M_AMG2,AMR1,AMR2,MCL1,MCL2,ALP1,ALP2,ATO1,ATO2,WIL1,WIL2,HAS1,HAS2,SAUB1,SAUB2
1 1:39.019,1:39.019,99.019,99.019,,1 1:41.063,1:41.063,101.063,101.063,,1 1:46.855,1:46.855,106.855,106.855,,1 1:46.453,1:46.453,106.453,106.453,,1 1:45.364,1:45.364,105.364,105.364,,1 1:48.214,1:48.214,108.214,108.214,,1 1:49.649,1:49.649,109.649,109.649,,1 1:45.967,1:45.967,105.967,105.967,,1 1:43.608,1:43.608,103.608,103.608,,1 1:44.670,1:44.670,104.670,104.670,,1 1:40.230,1:40.230,100.23,100.23,,1 1:41.659,1:41.659,101.659,101.659,,1 1:49.330,1:49.330,109.33,109.33,,1 1:47.339,1:47.339,107.339,107.339,,1 1:49.959,1:49.959,109.959,109.959,,1 1:47.791,1:47.791,107.791,107.791,,1 1:48.467,1:48.467,108.467,108.467,,1 1:44.154,1:44.154,104.154,104.154,,1 1:42.288,1:42.288,102.288,102.288,,1 1:42.662,1:42.662,102.662,102.662,,,VER,VER,PER,LEC,SAI,HAM,RUS,ALO,STR,NOR,PIA,OCO,GAS,TSU,DEV,ALB,SAR,MAG,HUL,BOT,ZHO
2 1:37.974,1:37.974,97.974,196.993,,2 1:38.862,1:38.862,98.862,199.925,,2 1:40.467,1:40.467,100.467,207.322,,2 1:40.430,1:40.430,100.430,206.883,,2 1:40.433,1:40.433,100.433,205.797,,2 1:40.830,1:40.830,100.83,209.044,,2 1:40.438,1:40.438,100.438,210.087,,2 1:40.408,1:40.408,100.408,206.375,,2 1:39.792,1:39.792,99.792,203.400,,2 1:39.892,1:39.892,99.892,204.562,,2 1:38.750,1:38.750,98.75,198.98,,2 1:38.933,1:38.933,98.933,200.592,,2 1:41.521,1:41.521,101.521,210.851,,2 1:40.720,1:40.720,100.72,208.059,,2 1:41.289,1:41.289,101.289,211.248,,2 1:40.837,1:40.837,100.837,208.628,,2 1:41.091,1:41.091,101.091,209.558,,2 1:39.956,1:39.956,99.956,204.11,,2 1:39.166,1:39.166,99.166,201.454,,2 1:39.590,1:39.590,99.59,202.252,,1,99.019,0.000,2.044,1.211,2.640,3.269,3.643,4.589,5.651,6.345,9.195,6.948,10.630,8.772,10.940,7.434,7.836,10.311,8.320,5.135,9.448
3 1:38.006,1:38.006,98.006,294.999,,3 1:38.830,1:38.830,98.830,298.755,,3 1:40.349,1:40.349,100.349,307.671,,3 1:40.143,1:40.143,100.143,307.026,,3 1:39.777,1:39.777,99.777,305.574,,3 1:40.691,1:40.691,100.691,309.735,,3 1:40.643,1:40.643,100.643,310.730,,3 1:39.948,1:39.948,99.948,306.323,,3 1:39.100,1:39.100,99.100,302.500,,3 1:39.625,1:39.625,99.625,304.187,,3 1:38.658,1:38.658,98.658,297.638,,3 1:39.042,1:39.042,99.042,299.634,,3 1:41.978,1:41.978,101.978,312.829,,3 1:40.484,1:40.484,100.484,308.543,,3 1:40.914,1:40.914,100.914,312.162,,3 1:40.243,1:40.243,100.243,308.871,,3 1:40.596,1:40.596,100.596,310.154,,3 1:39.397,1:39.397,99.397,303.507,,3 1:39.220,1:39.220,99.22,300.674,,3 1:39.093,1:39.093,99.093,301.345,,2,196.993,0.000,2.932,1.987,3.599,4.461,5.259,6.407,7.569,8.804,12.051,9.382,13.094,11.635,14.255,9.890,10.329,13.858,11.066,7.117,12.565
4 1:37.976,1:37.976,97.976,392.975,,4 1:38.758,1:38.758,98.758,397.513,,4 1:40.644,1:40.644,100.644,408.315,,4 1:39.761,1:39.761,99.761,406.787,,4 1:42.267,1:42.267,102.267,407.841,,4 1:40.718,1:40.718,100.718,410.453,,4 1:40.894,1:40.894,100.894,411.624,,4 1:39.543,1:39.543,99.543,405.866,,4 1:39.548,1:39.548,99.548,402.048,,4 1:39.745,1:39.745,99.745,403.932,,4 1:38.825,1:38.825,98.825,396.463,,4 1:38.985,1:38.985,98.985,398.619,,4 1:40.773,1:40.773,100.773,413.602,,4 1:41.004,1:41.004,101.004,409.547,,4 1:40.373,1:40.373,100.373,412.535,,4 1:39.950,1:39.950,99.95,408.821,,4 1:40.853,1:40.853,100.853,411.007,,4 1:39.823,1:39.823,99.823,403.33,,4 1:39.198,1:39.198,99.198,399.872,,4 1:39.261,1:39.261,99.261,400.606,,3,294.999,0.000,3.756,2.639,4.635,5.675,6.346,7.501,9.188,10.575,14.736,11.324,15.731,13.872,17.163,12.027,12.672,17.830,13.544,8.508,15.155
5 1:38.035,1:38.035,98.035,491.010,,5 1:38.404,1:38.404,98.404,495.917,,5 1:40.902,1:40.902,100.902,509.217,,5 1:40.606,1:40.606,100.606,507.393,,5 1:40.664,1:40.664,100.664,508.505,,5 1:40.862,1:40.862,100.862,511.315,,5 1:40.818,1:40.818,100.818,512.442,,5 1:40.281,1:40.281,100.281,506.147,,5 1:39.662,1:39.662,99.662,501.710,,5 1:39.144,1:39.144,99.144,503.076,,5 1:38.664,1:38.664,98.664,495.127,,5 1:39.128,1:39.128,99.128,497.747,,5 1:41.340,1:41.340,101.34,514.942,,5 1:41.002,1:41.002,101.002,510.549,,5 1:40.630,1:40.630,100.63,513.165,,5 1:41.131,1:41.131,101.131,509.952,,5 1:40.814,1:40.814,100.814,511.821,,5 1:41.033,1:41.033,101.033,504.363,,5 1:39.335,1:39.335,99.335,499.207,,5 1:39.549,1:39.549,99.549,500.155,,4,392.975,0.000,4.538,3.488,5.644,6.897,7.631,9.073,10.957,14.866,17.478,12.891,18.649,15.846,19.560,13.812,15.340,20.627,16.572,10.355,18.032
6 1:37.986,1:37.986,97.986,588.996,,6 1:38.718,1:38.718,98.718,594.635,,6 1:40.791,1:40.791,100.791,610.008,,6 1:40.744,1:40.744,100.744,608.137,,6 1:40.814,1:40.814,100.814,609.319,,6 1:41.111,1:41.111,101.111,612.426,,6 1:41.110,1:41.110,101.110,613.552,,6 1:40.331,1:40.331,100.331,606.478,,6 1:39.674,1:39.674,99.674,601.384,,6 1:39.714,1:39.714,99.714,602.790,,6 1:38.572,1:38.572,98.572,593.699,,6 1:39.474,1:39.474,99.474,597.221,,6 1:41.125,1:41.125,101.125,616.067,,6 1:41.002,1:41.002,101.002,611.551,,6 1:41.125,1:41.125,101.125,614.29,,6 1:40.886,1:40.886,100.886,610.838,,6 1:41.156,1:41.156,101.156,612.977,,6 1:40.265,1:40.265,100.265,604.628,,6 1:39.756,1:39.756,99.756,598.963,,6 1:39.493,1:39.493,99.493,599.648,,5,491.010,0.000,4.907,4.117,6.737,8.197,9.145,10.700,12.066,17.495,20.305,15.137,21.432,18.942,22.155,16.383,18.207,23.932,19.539,13.353,20.811
7 1:38.021,1:38.021,98.021,687.017,,7 1:38.804,1:38.804,98.804,693.439,,7 1:40.892,1:40.892,100.892,710.900,,7 1:40.646,1:40.646,100.646,708.783,,7 1:40.726,1:40.726,100.726,710.045,,7 1:41.167,1:41.167,101.167,713.593,,7 1:41.134,1:41.134,101.134,714.686,,7 1:40.488,1:40.488,100.488,706.966,,7 1:39.729,1:39.729,99.729,701.113,,7 1:39.945,1:39.945,99.945,702.735,,7 1:38.691,1:38.691,98.691,692.39,,7 1:39.502,1:39.502,99.502,696.723,,7 1:41.526,1:41.526,101.526,717.593,,7 1:41.148,1:41.148,101.148,712.699,,7 1:41.166,1:41.166,101.166,715.456,,7 1:40.952,1:40.952,100.952,711.79,,7 1:41.197,1:41.197,101.197,714.174,,7 1:40.564,1:40.564,100.564,705.192,,7 1:39.757,1:39.757,99.757,698.72,,7 1:40.056,1:40.056,100.056,699.704,,6,588.996,0.000,5.639,4.703,8.225,9.967,10.652,12.388,13.794,20.323,23.430,17.482,24.556,21.842,25.294,19.141,21.012,27.071,22.555,15.632,23.981
8 1:38.154,1:38.154,98.154,785.171,,8 1:39.172,1:39.172,99.172,792.611,,8 1:40.868,1:40.868,100.868,811.768,,8 1:40.918,1:40.918,100.918,809.701,,8 1:40.857,1:40.857,100.857,810.902,,8 1:41.295,1:41.295,101.295,814.888,,8 1:41.173,1:41.173,101.173,815.859,,8 1:40.562,1:40.562,100.562,807.528,,8 1:39.959,1:39.959,99.959,801.072,,8 1:39.801,1:39.801,99.801,802.536,,8 1:38.614,1:38.614,98.614,791.004,,8 1:39.779,1:39.779,99.779,796.502,,8 1:41.283,1:41.283,101.283,818.876,,8 1:41.249,1:41.249,101.249,813.948,,8 1:41.230,1:41.230,101.23,816.686,,8 1:40.846,1:40.846,100.846,812.636,,8 1:41.184,1:41.184,101.184,815.358,,8 1:40.387,1:40.387,100.387,805.579,,8 1:40.267,1:40.267,100.267,798.987,,8 1:40.310,1:40.310,100.31,800.014,,7,687.017,0.000,6.422,5.373,9.706,11.703,12.687,14.096,15.718,23.028,26.576,19.949,27.669,24.773,28.439,21.766,23.883,30.576,25.682,18.175,27.157
9 1:38.278,1:38.278,98.278,883.449,,9 1:38.914,1:38.914,98.914,891.525,,9 1:40.908,1:40.908,100.908,912.676,,9 1:40.969,1:40.969,100.969,910.670,,9 1:40.783,1:40.783,100.783,911.685,,9 1:41.534,1:41.534,101.534,916.422,,9 P 1:44.201,1:44.201,104.201,920.060,,9 1:40.866,1:40.866,100.866,908.394,,9 1:40.275,1:40.275,100.275,901.347,,9 1:40.106,1:40.106,100.106,902.642,,9 1:38.828,1:38.828,98.828,889.832,,9 1:39.744,1:39.744,99.744,896.246,,9 1:41.278,1:41.278,101.278,920.154,,9 1:41.615,1:41.615,101.615,915.563,,9 1:41.573,1:41.573,101.573,918.259,,9 1:41.010,1:41.010,101.01,913.646,,9 1:41.526,1:41.526,101.526,916.884,,9 1:40.275,1:40.275,100.275,905.854,,9 1:40.323,1:40.323,100.323,899.31,,9 1:40.420,1:40.420,100.42,900.434,,8,785.171,0.000,7.440,5.833,11.331,13.816,14.843,15.901,17.365,25.731,29.717,22.357,30.688,27.465,31.515,24.530,26.597,33.705,28.777,20.408,30.187
10 1:38.369,1:38.369,98.369,981.818,,10 1:39.085,1:39.085,99.085,990.610,,10 1:41.133,1:41.133,101.133,1013.809,,10 1:41.119,1:41.119,101.119,1011.789,,10 P 1:43.521,1:43.521,103.521,1015.206,,10 1:41.584,1:41.584,101.584,1018.006,,10 2:01.262,2:01.262,121.262,1041.322,,10 1:40.858,1:40.858,100.858,1009.252,,10 1:40.203,1:40.203,100.203,1001.550,,10 1:40.192,1:40.192,100.192,1002.834,,10 1:39.073,1:39.073,99.073,988.905,,10 1:40.102,1:40.102,100.102,996.348,,10 1:41.719,1:41.719,101.719,1021.873,,10 1:42.252,1:42.252,102.252,1017.815,,10 1:41.666,1:41.666,101.666,1019.925,,10 P 1:43.749,1:43.749,103.749,1017.395,,10 1:41.743,1:41.743,101.743,1018.627,,10 1:40.676,1:40.676,100.676,1006.53,,10 1:40.289,1:40.289,100.289,999.599,,10 1:40.532,1:40.532,100.532,1000.966,,9,883.449,0.000,8.076,6.383,12.797,15.861,16.985,17.898,19.193,28.236,32.973,24.945,36.611,30.197,34.810,27.221,29.227,36.705,32.114,22.405,33.435
