1 Max VERSTAPPEN,,MV_Laptime_s,MV_Cumulative,,11 Sergio PEREZ,,SP_Laptime_s,SP_Cumulative,,2 Logan SARGEANT,,LS_Laptime_s,LS_Cumulative,,23 Alex ALBON,,AA_Laptime_s,AA_Cumulative,,4 Lando NORRIS,,LN_Laptime_s,LN_Cumulative,,81 Oscar PIASTRI,,OP_Laptime_s,OP_Cumulative,,10 Pierre GASLY,,PG_Laptime_s,PG_Cumulative,,31 Esteban OCON,,EO_Laptime_s,EO_Cumulative,,14 Fernando ALONSO,,FA_Laptime_s,FA_Cumulative,,18 Lance STROLL,,LS_Laptime_s,LS_Cumulative,,16 Charles LECLERC,,CL_Laptime_s,CL_Cumulative,,55 Carlos SAINZ,,CS_Laptime_s,CL_Cumulative,,20 Kevin MAGNUSSEN,,KM_Laptime_s,KM_Cumulative,,27 Nico HULKENBERG,,NH_Laptime_s,NH_Cumulative,,3 Daniel RICCIARDO,,RIC_Laptime_s,RIC_Cumulative,,22 Yuki TSUNODA,,YT_Laptime_s,YT_Cumulative,,24 Guanyu ZHOU,,GZ_Laptime_s,GZ_Cumulative,,77 Valterri BOTTAS,,VB_Laptime_s,VB_Cumulative,,44 Lewis HAMILTON,,LH_Laptime_s,LH_Cumulative,,63 George RUSSELL,,GR_Laptime_s,GR_Cumulative,,,,RBR1,RBR2,SF1,SF2,M-AMG1,M_AMG2,AMR1,AMR2,MCL1,MCL2,ALP1,ALP2,ATO1,ATO2,WIL1,WIL2,HAS1,HAS2,SAUB1,SAUB2
1 1:37.284,01:37.3,97.284,97.284,,1 1:40.053,01:40.1,100.053,100.053,,1 1:45.921,01:45.9,105.921,105.921,,1 1:43.888,01:43.9,103.888,103.888,,1 1:42.168,01:42.2,102.168,102.168,,1 1:42.543,01:42.5,102.543,102.543,,1 1:47.240,01:47.2,107.24,107.24,,1 1:46.657,01:46.7,106.657,106.657,,1 1:41.679,01:41.7,101.679,101.679,,1 1:50.214,01:50.2,110.214,110.214,,1 1:38.271,01:38.3,98.271,98.271,,1 1:40.620,01:40.6,100.62,100.62,,1 1:44.349,01:44.3,104.349,104.349,,1 1:53.555,01:53.6,113.555,113.555,,1 1:45.668,01:45.7,105.668,105.668,,1 1:43.485,01:43.5,103.485,103.485,,1 1:44.801,01:44.8,104.801,104.801,,1 1:48.536,01:48.5,108.536,108.536,,1 1:43.122,01:43.1,103.122,103.122,,1 1:39.228,01:39.2,99.228,99.228,,,VER,VER,PER,LEC,SAI,HAM,RUS,ALO,STR,NOR,PIA,OCO,GAS,TSU,RIC,ALB,SAR,MAG,HUL,BOT,ZHO
2 1:36.296,01:36.3,96.296,193.58,,2 1:36.541,01:36.5,96.541,196.594,,2 1:38.481,01:38.5,98.481,204.402,,2 1:38.826,01:38.8,98.826,202.714,,2 1:38.010,01:38.0,98.01,200.178,,2 1:38.382,01:38.4,98.382,200.925,,2 1:39.059,01:39.1,99.059,206.299,,2 1:39.094,01:39.1,99.094,205.751,,2 1:38.020,01:38.0,98.02,199.699,,2 1:37.987,01:38.0,97.987,208.201,,2 1:36.862,01:36.9,96.862,195.133,,2 1:37.236,01:37.2,97.236,197.856,,2 1:38.911,01:38.9,98.911,203.26,,2 2:10.911,02:10.9,130.911,244.466,,2 1:39.509,01:39.5,99.509,205.177,,2 1:38.689,01:38.7,98.689,202.174,,2 1:38.920,01:38.9,98.92,203.721,,2 1:38.259,01:38.3,98.259,206.795,,2 1:38.273,01:38.3,98.273,201.395,,2 1:36.635,01:36.6,96.635,195.863,,1,97.284,0,2.769,0.987,3.336,5.838,1.944,4.395,12.93,4.884,5.259,9.373,9.956,6.201,8.384,6.604,8.637,7.065,16.271,11.252,7.517
3 1:36.753,01:36.8,96.753,290.333,,3 1:37.297,01:37.3,97.297,293.891,,3 1:38.707,01:38.7,98.707,303.109,,3 1:38.507,01:38.5,98.507,301.221,,3 1:37.787,01:37.8,97.787,297.965,,3 1:38.258,01:38.3,98.258,299.183,,3 1:38.744,01:38.7,98.744,305.043,,3 1:38.771,01:38.8,98.771,304.522,,3 1:39.046,01:39.0,99.046,298.745,,3 1:38.279,01:38.3,98.279,306.48,,3 1:38.062,01:38.1,98.062,293.195,,3 1:37.080,01:37.1,97.08,294.936,,3 1:38.399,01:38.4,98.399,301.659,,3 1:37.317,01:37.3,97.317,341.783,,3 1:38.760,01:38.8,98.76,303.937,,3 1:38.431,01:38.4,98.431,300.605,,3 1:38.582,01:38.6,98.582,302.303,,3 1:38.837,01:38.8,98.837,305.632,,3 1:38.303,01:38.3,98.303,299.698,,3 1:36.406,01:36.4,96.406,292.269,,2,193.58,0,3.014,1.553,4.276,7.815,2.283,6.119,14.621,6.598,7.345,12.171,12.719,8.594,11.597,9.134,10.822,9.68,50.886,13.215,10.141
4 1:36.647,01:36.6,96.647,386.98,,4 1:37.722,01:37.7,97.722,391.613,,4 1:38.390,01:38.4,98.39,401.499,,4 1:38.422,01:38.4,98.422,399.643,,4 1:37.450,01:37.5,97.45,395.415,,4 1:37.897,01:37.9,97.897,397.08,,4 1:38.503,01:38.5,98.503,403.546,,4 1:38.625,01:38.6,98.625,403.147,,4 1:37.776,01:37.8,97.776,396.521,,4 1:38.364,01:38.4,98.364,404.844,,4 1:37.752,01:37.8,97.752,390.947,,4 1:37.264,01:37.3,97.264,392.2,,4 1:38.497,01:38.5,98.497,400.156,,4 1:37.349,01:37.3,97.349,439.132,,4 1:38.610,01:38.6,98.61,402.547,,4 1:38.310,01:38.3,98.31,398.915,,4 1:38.428,01:38.4,98.428,400.731,,4 1:38.643,01:38.6,98.643,404.275,,4 1:38.287,01:38.3,98.287,397.985,,4 1:37.738,01:37.7,97.738,390.007,,3,290.333,0,3.558,2.862,4.603,9.365,1.936,8.412,16.147,7.632,8.85,14.189,14.71,10.272,13.604,10.888,12.776,11.326,51.45,15.299,11.97
5 1:37.173,01:37.2,97.173,484.153,,5 1:38.044,01:38.0,98.044,489.657,,5 1:38.757,01:38.8,98.757,500.256,,5 1:38.509,01:38.5,98.509,498.152,,5 1:37.794,01:37.8,97.794,493.209,,5 1:37.859,01:37.9,97.859,494.939,,5 1:38.664,01:38.7,98.664,502.21,,5 1:38.640,01:38.6,98.64,501.787,,5 1:39.292,01:39.3,99.292,495.813,,5 1:38.725,01:38.7,98.725,503.569,,5 1:38.131,01:38.1,98.131,489.078,,5 1:38.032,01:38.0,98.032,490.232,,5 1:38.576,01:38.6,98.576,498.732,,5 1:37.663,01:37.7,97.663,536.795,,5 1:38.704,01:38.7,98.704,501.251,,5 1:38.321,01:38.3,98.321,497.236,,5 1:38.798,01:38.8,98.798,499.529,,5 1:40.087,01:40.1,100.087,504.362,,5 1:38.350,01:38.4,98.35,496.335,,5 1:38.116,01:38.1,98.116,488.123,,4,386.98,0,4.633,3.967,5.22,11.005,3.027,9.541,17.864,8.435,10.1,16.167,16.566,11.935,15.567,12.663,14.519,13.176,52.152,17.295,13.751
6 1:37.092,01:37.1,97.092,581.245,,6 1:37.823,01:37.8,97.823,587.48,,6 1:38.582,01:38.6,98.582,598.838,,6 1:38.575,01:38.6,98.575,596.727,,6 1:37.896,01:37.9,97.896,591.105,,6 1:37.955,01:38.0,97.955,592.894,,6 1:39.099,01:39.1,99.099,601.309,,6 1:38.874,01:38.9,98.874,600.661,,6 1:38.053,01:38.1,98.053,593.866,,6 1:38.925,01:38.9,98.925,602.494,,6 1:37.782,01:37.8,97.782,586.86,,6 1:37.741,01:37.7,97.741,587.973,,6 1:38.529,01:38.5,98.529,597.261,,6 1:37.896,01:37.9,97.896,634.691,,6 1:38.689,01:38.7,98.689,599.94,,6 1:38.361,01:38.4,98.361,595.597,,6 1:38.488,01:38.5,98.488,598.017,,6 1:39.206,01:39.2,99.206,603.568,,6 1:38.183,01:38.2,98.183,594.518,,6 1:37.784,01:37.8,97.784,585.907,,5,484.153,0,5.504,4.925,6.079,12.182,3.97,11.66,19.416,9.056,10.786,17.634,18.057,13.083,17.098,13.999,16.103,14.579,52.642,20.209,15.376
7 1:37.038,01:37.0,97.038,678.283,,7 1:37.821,01:37.8,97.821,685.301,,7 1:39.464,01:39.5,99.464,698.302,,7 1:38.971,01:39.0,98.971,695.698,,7 1:37.860,01:37.9,97.86,688.965,,7 1:37.984,01:38.0,97.984,690.878,,7 1:39.078,01:39.1,99.078,700.387,,7 1:39.152,01:39.2,99.152,699.813,,7 1:38.008,01:38.0,98.008,691.874,,7 1:38.769,01:38.8,98.769,701.263,,7 1:38.957,01:39.0,98.957,685.817,,7 1:38.260,01:38.3,98.26,686.233,,7 1:40.058,01:40.1,100.058,697.319,,7 1:37.682,01:37.7,97.682,732.373,,7 1:39.193,01:39.2,99.193,699.133,,7 1:38.364,01:38.4,98.364,693.961,,7 1:39.517,01:39.5,99.517,697.534,,7 1:38.654,01:38.7,98.654,702.222,,7 1:37.839,01:37.8,97.839,692.357,,7 1:38.082,01:38.1,98.082,683.989,,6,581.245,0,6.235,5.615,6.728,13.273,4.662,12.621,21.249,9.86,11.649,19.416,20.064,14.352,18.695,15.482,17.593,16.016,53.446,22.323,16.772
8 1:37.024,01:37.0,97.024,775.307,,8 1:37.838,01:37.8,97.838,783.139,,8 1:39.580,01:39.6,99.58,797.882,,8 1:38.660,01:38.7,98.66,794.358,,8 1:38.134,01:38.1,98.134,787.099,,8 1:37.956,01:38.0,97.956,788.834,,8 1:39.287,01:39.3,99.287,799.674,,8 1:39.422,01:39.4,99.422,799.235,,8 1:38.103,01:38.1,98.103,789.977,,8 1:38.857,01:38.9,98.857,800.12,,8 1:38.136,01:38.1,98.136,783.953,,8 1:38.183,01:38.2,98.183,784.416,,8 1:39.172,01:39.2,99.172,796.491,,8 1:37.820,01:37.8,97.82,830.193,,8 1:39.529,01:39.5,99.529,798.662,,8 1:38.513,01:38.5,98.513,792.474,,8 1:39.646,01:39.6,99.646,797.18,,8 1:38.968,01:39.0,98.968,801.19,,8 1:38.221,01:38.2,98.221,790.578,,8 1:37.862,01:37.9,97.862,781.851,,7,678.283,0,7.018,7.534,7.95,14.074,5.706,13.591,22.98,10.682,12.595,21.53,22.104,15.678,20.85,17.415,20.019,19.036,54.09,23.939,19.251
9 1:37.229,01:37.2,97.229,872.536,,9 1:37.596,01:37.6,97.596,880.735,,9 1:39.366,01:39.4,99.366,897.248,,9 1:38.652,01:38.7,98.652,893.01,,9 1:38.064,01:38.1,98.064,885.163,,9 1:38.096,01:38.1,98.096,886.93,,9 1:39.452,01:39.5,99.452,899.126,,9 1:39.312,01:39.3,99.312,898.547,,9 1:38.896,01:38.9,98.896,888.873,,9 P 1:42.112,01:42.1,102.112,902.232,,9 1:37.844,01:37.8,97.844,881.797,,9 1:38.030,01:38.0,98.03,882.446,,9 1:38.861,01:38.9,98.861,895.352,,9 1:37.883,01:37.9,97.883,928.076,,9 1:39.338,01:39.3,99.338,898,,9 1:38.554,01:38.6,98.554,891.028,,9 P 1:41.849,01:41.8,101.849,899.029,,9 1:39.425,01:39.4,99.425,900.615,,9 1:38.645,01:38.6,98.645,889.223,,9 1:37.730,01:37.7,97.73,879.581,,8,775.307,0,7.832,8.646,9.109,15.271,6.544,14.67,24.813,11.792,13.527,23.928,24.367,17.167,23.355,19.051,22.575,21.184,54.886,25.883,21.873
10 1:36.960,01:37.0,96.96,969.496,,10 1:37.630,01:37.6,97.63,978.365,,10 P 2:41.860,02:41.9,161.86,1059.108,,10 1:38.952,01:39.0,98.952,991.962,,10 1:37.936,01:37.9,97.936,983.099,,10 1:38.073,01:38.1,98.073,985.003,,10 1:38.929,01:38.9,98.929,998.055,,10 P 1:41.642,01:41.6,101.642,1000.189,,10 1:39.325,01:39.3,99.325,988.198,,10 1:57.815,01:57.8,117.815,1020.047,,10 1:37.884,01:37.9,97.884,979.681,,10 1:37.608,01:37.6,97.608,980.054,,10 1:38.747,01:38.7,98.747,994.099,,10 1:38.370,01:38.4,98.37,1026.446,,10 1:38.782,01:38.8,98.782,996.782,,10 1:38.912,01:38.9,98.912,989.94,,10 1:59.328,01:59.3,119.328,1018.357,,10 1:39.112,01:39.1,99.112,999.727,,10 1:38.037,01:38.0,98.037,987.26,,10 1:37.782,01:37.8,97.782,977.363,,9,872.536,0,8.199,9.261,9.91,16.687,7.045,16.337,29.696,12.627,14.394,26.011,26.59,18.492,25.464,20.474,24.712,22.816,55.54,28.079,26.493
