1 Max VERSTAPPEN,,MV_Laptime_s,MV_Cumulative,,11 Sergio PEREZ,,SP_Laptime_s,SP_Cumulative,,2 Logan SARGEANT,,LS_Laptime_s,LS_Cumulative,,23 Alex ALBON,,AA_Laptime_s,AA_Cumulative,,4 Lando NORRIS,,LN_Laptime_s,LN_Cumulative,,81 Oscar PIASTRI,,OP_Laptime_s,OP_Cumulative,,10 Pierre GASLY,,PG_Laptime_s,PG_Cumulative,,31 Esteban OCON,,EO_Laptime_s,EO_Cumulative,,14 Fernando ALONSO,,FA_Laptime_s,FA_Cumulative,,18 Lance STROLL,,LS_Laptime_s,LS_Cumulative,,16 Charles LECLERC,,CL_Laptime_s,CL_Cumulative,,55 Carlos SAINZ,,CS_Laptime_s,CL_Cumulative,,20 Kevin MAGNUSSEN,,KM_Laptime_s,KM_Cumulative,,27 Nico HULKENBERG,,NH_Laptime_s,NH_Cumulative,,3 Daniel RICCIARDO,,RIC_Laptime_s,RIC_Cumulative,,22 Yuki TSUNODA,,YT_Laptime_s,YT_Cumulative,,24 Guanyu ZHOU,,GZ_Laptime_s,GZ_Cumulative,,77 Valterri BOTTAS,,VB_Laptime_s,VB_Cumulative,,44 Lewis HAMILTON,,LH_Laptime_s,LH_Cumulative,,63 George RUSSELL,,GR_Laptime_s,GR_Cumulative,,,,RBR1,RBR2,SF1,SF2,M-AMG1,M_AMG2,AMR1,AMR2,MCL1,MCL2,ALP1,ALP2,ATO1,ATO2,WIL1,WIL2,HAS1,HAS2,SAUB1,SAUB2
1 1:37.284,1:37.284,97.284,97.284,,1 1:40.053,1:40.053,100.053,100.053,,1 1:45.921,1:45.921,105.921,105.921,,1 1:43.888,1:43.888,103.888,103.888,,1 1:42.168,1:42.168,102.168,102.168,,1 1:42.543,1:42.543,102.543,102.543,,1 1:47.240,1:47.240,107.240,107.240,,1 1:46.657,1:46.657,106.657,106.657,,1 1:41.679,1:41.679,101.679,101.679,,1 1:50.214,1:50.214,110.214,110.214,,1 1:38.271,1:38.271,98.271,98.271,,1 1:40.620,1:40.620,100.62,100.62,,1 1:44.349,1:44.349,104.349,104.349,,1 1:53.555,1:53.555,113.555,113.555,,1 1:45.668,1:45.668,105.668,105.668,,1 1:43.485,1:43.485,103.485,103.485,,1 1:44.801,1:44.801,104.801,104.801,,1 1:48.536,1:48.536,108.536,108.536,,1 1:43.122,1:43.122,103.122,103.122,,1 1:39.228,1:39.228,99.228,99.228,,,RefTime (97.284s laps),VER,PER,LEC,SAI,HAM,RUS,ALO,STR,NOR,PIA,OCO,GAS,TSU,RIC,ALB,SAR,MAG,HUL,BOT,ZHO
2 1:36.296,1:36.296,96.296,193.580,,2 1:36.541,1:36.541,96.541,196.594,,2 1:38.481,1:38.481,98.481,204.402,,2 1:38.826,1:38.826,98.826,202.714,,2 1:38.010,1:38.010,98.010,200.178,,2 1:38.382,1:38.382,98.382,200.925,,2 1:39.059,1:39.059,99.059,206.299,,2 1:39.094,1:39.094,99.094,205.751,,2 1:38.020,1:38.020,98.020,199.699,,2 1:37.987,1:37.987,97.987,208.201,,2 1:36.862,1:36.862,96.862,195.133,,2 1:37.236,1:37.236,97.236,197.856,,2 1:38.911,1:38.911,98.911,203.26,,2 2:10.911,2:10.911,130.911,244.466,,2 1:39.509,1:39.509,99.509,205.177,,2 1:38.689,1:38.689,98.689,202.174,,2 1:38.920,1:38.920,98.92,203.721,,2 1:38.259,1:38.259,98.259,206.795,,2 1:38.273,1:38.273,98.273,201.395,,2 1:36.635,1:36.635,96.635,195.863,,1,97.284,0.000,2.769,0.987,3.336,5.838,1.944,4.395,12.930,4.884,5.259,9.373,9.956,6.201,8.384,6.604,8.637,7.065,16.271,11.252,7.517
3 1:36.753,1:36.753,96.753,290.333,,3 1:37.297,1:37.297,97.297,293.891,,3 1:38.707,1:38.707,98.707,303.109,,3 1:38.507,1:38.507,98.507,301.221,,3 1:37.787,1:37.787,97.787,297.965,,3 1:38.258,1:38.258,98.258,299.183,,3 1:38.744,1:38.744,98.744,305.043,,3 1:38.771,1:38.771,98.771,304.522,,3 1:39.046,1:39.046,99.046,298.745,,3 1:38.279,1:38.279,98.279,306.480,,3 1:38.062,1:38.062,98.062,293.195,,3 1:37.080,1:37.080,97.08,294.936,,3 1:38.399,1:38.399,98.399,301.659,,3 1:37.317,1:37.317,97.317,341.783,,3 1:38.760,1:38.760,98.76,303.937,,3 1:38.431,1:38.431,98.431,300.605,,3 1:38.582,1:38.582,98.582,302.303,,3 1:38.837,1:38.837,98.837,305.632,,3 1:38.303,1:38.303,98.303,299.698,,3 1:36.406,1:36.406,96.406,292.269,,2,194.568,-0.988,2.026,0.565,3.288,6.827,1.295,5.131,13.633,5.610,6.357,11.183,11.731,7.606,10.609,8.146,9.834,8.692,49.898,12.227,9.153
4 1:36.647,1:36.647,96.647,386.980,,4 1:37.722,1:37.722,97.722,391.613,,4 1:38.390,1:38.390,98.390,401.499,,4 1:38.422,1:38.422,98.422,399.643,,4 1:37.450,1:37.450,97.450,395.415,,4 1:37.897,1:37.897,97.897,397.08,,4 1:38.503,1:38.503,98.503,403.546,,4 1:38.625,1:38.625,98.625,403.147,,4 1:37.776,1:37.776,97.776,396.521,,4 1:38.364,1:38.364,98.364,404.844,,4 1:37.752,1:37.752,97.752,390.947,,4 1:37.264,1:37.264,97.264,392.2,,4 1:38.497,1:38.497,98.497,400.156,,4 1:37.349,1:37.349,97.349,439.132,,4 1:38.610,1:38.610,98.61,402.547,,4 1:38.310,1:38.310,98.31,398.915,,4 1:38.428,1:38.428,98.428,400.731,,4 1:38.643,1:38.643,98.643,404.275,,4 1:38.287,1:38.287,98.287,397.985,,4 1:37.738,1:37.738,97.738,390.007,,3,291.852,-1.519,2.039,1.343,3.084,7.846,0.417,6.893,14.628,6.113,7.331,12.670,13.191,8.753,12.085,9.369,11.257,9.807,49.931,13.780,10.451
5 1:37.173,1:37.173,97.173,484.153,,5 1:38.044,1:38.044,98.044,489.657,,5 1:38.757,1:38.757,98.757,500.256,,5 1:38.509,1:38.509,98.509,498.152,,5 1:37.794,1:37.794,97.794,493.209,,5 1:37.859,1:37.859,97.859,494.939,,5 1:38.664,1:38.664,98.664,502.210,,5 1:38.640,1:38.640,98.640,501.787,,5 1:39.292,1:39.292,99.292,495.813,,5 1:38.725,1:38.725,98.725,503.569,,5 1:38.131,1:38.131,98.131,489.078,,5 1:38.032,1:38.032,98.032,490.232,,5 1:38.576,1:38.576,98.576,498.732,,5 1:37.663,1:37.663,97.663,536.795,,5 1:38.704,1:38.704,98.704,501.251,,5 1:38.321,1:38.321,98.321,497.236,,5 1:38.798,1:38.798,98.798,499.529,,5 1:40.087,1:40.087,100.087,504.362,,5 1:38.350,1:38.350,98.35,496.335,,5 1:38.116,1:38.116,98.116,488.123,,4,389.136,-2.156,2.477,1.811,3.064,8.849,0.871,7.385,15.708,6.279,7.944,14.011,14.410,9.779,13.411,10.507,12.363,11.020,49.996,15.139,11.595
6 1:37.092,1:37.092,97.092,581.245,,6 1:37.823,1:37.823,97.823,587.480,,6 1:38.582,1:38.582,98.582,598.838,,6 1:38.575,1:38.575,98.575,596.727,,6 1:37.896,1:37.896,97.896,591.105,,6 1:37.955,1:37.955,97.955,592.894,,6 1:39.099,1:39.099,99.099,601.309,,6 1:38.874,1:38.874,98.874,600.661,,6 1:38.053,1:38.053,98.053,593.866,,6 1:38.925,1:38.925,98.925,602.494,,6 1:37.782,1:37.782,97.782,586.86,,6 1:37.741,1:37.741,97.741,587.973,,6 1:38.529,1:38.529,98.529,597.261,,6 1:37.896,1:37.896,97.896,634.691,,6 1:38.689,1:38.689,98.689,599.94,,6 1:38.361,1:38.361,98.361,595.597,,6 1:38.488,1:38.488,98.488,598.017,,6 1:39.206,1:39.206,99.206,603.568,,6 1:38.183,1:38.183,98.183,594.518,,6 1:37.784,1:37.784,97.784,585.907,,5,486.420,-2.267,3.237,2.658,3.812,9.915,1.703,9.393,17.149,6.789,8.519,15.367,15.790,10.816,14.831,11.732,13.836,12.312,50.375,17.942,13.109
7 1:37.038,1:37.038,97.038,678.283,,7 1:37.821,1:37.821,97.821,685.301,,7 1:39.464,1:39.464,99.464,698.302,,7 1:38.971,1:38.971,98.971,695.698,,7 1:37.860,1:37.860,97.860,688.965,,7 1:37.984,1:37.984,97.984,690.878,,7 1:39.078,1:39.078,99.078,700.387,,7 1:39.152,1:39.152,99.152,699.813,,7 1:38.008,1:38.008,98.008,691.874,,7 1:38.769,1:38.769,98.769,701.263,,7 1:38.957,1:38.957,98.957,685.817,,7 1:38.260,1:38.260,98.26,686.233,,7 1:40.058,1:40.058,100.058,697.319,,7 1:37.682,1:37.682,97.682,732.373,,7 1:39.193,1:39.193,99.193,699.133,,7 1:38.364,1:38.364,98.364,693.961,,7 1:39.517,1:39.517,99.517,697.534,,7 1:38.654,1:38.654,98.654,702.222,,7 1:37.839,1:37.839,97.839,692.357,,7 1:38.082,1:38.082,98.082,683.989,,6,583.704,-2.459,3.776,3.156,4.269,10.814,2.203,10.162,18.790,7.401,9.190,16.957,17.605,11.893,16.236,13.023,15.134,13.557,50.987,19.864,14.313
8 1:37.024,1:37.024,97.024,775.307,,8 1:37.838,1:37.838,97.838,783.139,,8 1:39.580,1:39.580,99.580,797.882,,8 1:38.660,1:38.660,98.660,794.358,,8 1:38.134,1:38.134,98.134,787.099,,8 1:37.956,1:37.956,97.956,788.834,,8 1:39.287,1:39.287,99.287,799.674,,8 1:39.422,1:39.422,99.422,799.235,,8 1:38.103,1:38.103,98.103,789.977,,8 1:38.857,1:38.857,98.857,800.120,,8 1:38.136,1:38.136,98.136,783.953,,8 1:38.183,1:38.183,98.183,784.416,,8 1:39.172,1:39.172,99.172,796.491,,8 1:37.820,1:37.820,97.82,830.193,,8 1:39.529,1:39.529,99.529,798.662,,8 1:38.513,1:38.513,98.513,792.474,,8 1:39.646,1:39.646,99.646,797.18,,8 1:38.968,1:38.968,98.968,801.19,,8 1:38.221,1:38.221,98.221,790.578,,8 1:37.862,1:37.862,97.862,781.851,,7,680.988,-2.705,4.313,4.829,5.245,11.369,3.001,10.886,20.275,7.977,9.890,18.825,19.399,12.973,18.145,14.710,17.314,16.331,51.385,21.234,16.546
9 1:37.229,1:37.229,97.229,872.536,,9 1:37.596,1:37.596,97.596,880.735,,9 1:39.366,1:39.366,99.366,897.248,,9 1:38.652,1:38.652,98.652,893.010,,9 1:38.064,1:38.064,98.064,885.163,,9 1:38.096,1:38.096,98.096,886.93,,9 1:39.452,1:39.452,99.452,899.126,,9 1:39.312,1:39.312,99.312,898.547,,9 1:38.896,1:38.896,98.896,888.873,,9 P 1:42.112,1:42.112,102.112,902.232,,9 1:37.844,1:37.844,97.844,881.797,,9 1:38.030,1:38.030,98.03,882.446,,9 1:38.861,1:38.861,98.861,895.352,,9 1:37.883,1:37.883,97.883,928.076,,9 1:39.338,1:39.338,99.338,898,,9 1:38.554,1:38.554,98.554,891.028,,9 P 1:41.849,1:41.849,101.849,899.029,,9 1:39.425,1:39.425,99.425,900.615,,9 1:38.645,1:38.645,98.645,889.223,,9 1:37.730,1:37.730,97.73,879.581,,8,778.272,-2.965,4.867,5.681,6.144,12.306,3.579,11.705,21.848,8.827,10.562,20.963,21.402,14.202,20.390,16.086,19.610,18.219,51.921,22.918,18.908
10 1:36.960,1:36.960,96.960,969.496,,10 1:37.630,1:37.630,97.630,978.365,,10 P 2:41.860,2:41.860,161.860,1059.108,,10 1:38.952,1:38.952,98.952,991.962,,10 1:37.936,1:37.936,97.936,983.099,,10 1:38.073,1:38.073,98.073,985.003,,10 1:38.929,1:38.929,98.929,998.055,,10 P 1:41.642,1:41.642,101.642,1000.189,,10 1:39.325,1:39.325,99.325,988.198,,10 1:57.815,1:57.815,117.815,1020.047,,10 1:37.884,1:37.884,97.884,979.681,,10 1:37.608,1:37.608,97.608,980.054,,10 1:38.747,1:38.747,98.747,994.099,,10 1:38.370,1:38.370,98.37,1026.446,,10 1:38.782,1:38.782,98.782,996.782,,10 1:38.912,1:38.912,98.912,989.94,,10 1:59.328,1:59.328,119.328,1018.357,,10 1:39.112,1:39.112,99.112,999.727,,10 1:38.037,1:38.037,98.037,987.26,,10 1:37.782,1:37.782,97.782,977.363,,9,875.556,-3.020,5.179,6.241,6.890,13.667,4.025,13.317,26.676,9.607,11.374,22.991,23.570,15.472,22.444,17.454,21.692,19.796,52.520,25.059,23.473
