23 Alexander ALBON,31 Esteban OCON,,44 Lewis HAMILTON,55 Carlos SAINZ,16 Charles LECLERC,,Lap,Albon,Ocon,Hamilton,Sainz,Leclerc,,Delta_23-31,,Delta_44-55,Delta_44-16
1 1:29.175,1 1:26.367,,1 1:23.978,1 1:30.282,1 1:28.596,,1,89.175,86.367,83.978,90.282,88.596,,-2.808,,6.304,4.618
2 1:19.630,2 1:19.331,,2 1:18.397,2 1:18.944,2 1:19.777,,2,79.630,79.331,78.397,78.944,79.777,,-3.107,,6.851,5.998
3 1:18.618,3 1:18.462,,3 1:17.732,3 1:18.860,3 1:18.528,,3,78.618,78.462,77.732,78.860,78.528,,-3.263,,7.979,6.794
4 1:18.780,4 1:18.494,,4 1:17.558,4 1:18.579,4 1:18.648,,4,78.780,78.494,77.558,78.579,78.648,,-3.549,,9.000,7.884
5 1:18.422,5 1:18.419,,5 1:17.686,5 1:18.539,5 1:18.708,,5,78.422,78.419,77.686,78.539,78.708,,-3.552,,9.853,8.906
6 1:18.745,6 1:18.462,,6 1:17.780,6 1:18.599,6 1:18.561,,6,78.745,78.462,77.780,78.599,78.561,,-3.835,,10.672,9.687
7 1:19.316,7 1:18.441,,7 1:17.955,7 1:19.321,7 1:19.486,,7,79.316,78.441,77.955,79.321,79.486,,-4.710,,12.038,11.218
8 1:33.687,8 1:32.641,,8 1:33.462,8 1:33.566,8 1:33.395,,8,93.687,92.641,93.462,93.566,93.395,,-5.756,,12.142,11.151
9 1:18.467,9 1:18.000,,9 1:17.616,9 1:18.749,9 1:18.714,,9,78.467,78.000,77.616,78.749,78.714,,-6.223,,13.275,12.249
10 1:19.319,10 1:18.400,,10 1:17.597,10 1:19.260,10 1:19.321,,10,79.319,78.400,77.597,79.260,79.321,,-7.142,,14.938,13.973
11 1:18.717,11 1:18.335,,11 1:17.692,11 1:18.723,11 1:18.254,,11,78.717,78.335,77.692,78.723,78.254,,-7.524,,15.969,14.535
12 P 1:50.487,12 P 1:44.968,,12 P 1:39.747,12 1:33.796,12 1:33.680,,12,110.487,104.968,99.747,93.796,93.680,,-13.043,,10.018,8.468
13 2:05.716,13 2:15.376,,13 2:21.261,13 2:14.981,13 2:15.744,,13,125.716,135.376,141.261,134.981,135.744,,-3.383,,3.738,2.951
14 2:07.268,14 2:05.785,,14 2:04.238,14 2:04.561,14 2:04.051,,14,127.268,125.785,124.238,124.561,124.051,,-4.866,,4.061,2.764
15 1:54.151,15 1:54.063,,15 1:54.617,15 1:54.358,15 1:54.498,,15,114.151,114.063,114.617,114.358,114.498,,-4.954,,3.802,2.645
16 2:04.986,16 2:08.502,,16 2:13.896,16 2:11.509,16 2:12.066,,16,124.986,128.502,133.896,131.509,132.066,,-1.438,,1.415,0.815
17 1:20.042,17 1:20.127,,17 1:17.873,17 1:18.682,17 1:18.548,,17,80.042,80.127,77.873,78.682,78.548,,-1.353,,2.224,1.490
18 1:19.275,18 1:18.855,,18 1:17.081,18 1:17.425,18 1:17.479,,18,79.275,78.855,77.081,77.425,77.479,,-1.773,,2.568,1.888
19 1:17.882,19 1:17.984,,19 1:16.786,19 1:16.829,19 1:17.003,,19,77.882,77.984,76.786,76.829,77.003,,-1.671,,2.611,2.105
20 1:18.055,20 1:18.038,,20 1:16.799,20 1:16.961,20 1:17.056,,20,78.055,78.038,76.799,76.961,77.056,,-1.688,,2.773,2.362
21 1:19.160,21 1:17.951,,21 1:16.848,21 1:17.337,21 1:17.030,,21,79.160,77.951,76.848,77.337,77.030,,-2.897,,3.262,2.544
22 1:18.868,22 1:17.803,,22 1:17.475,22 1:17.036,22 1:17.270,,22,78.868,77.803,77.475,77.036,77.270,,-3.962,,2.823,2.339
23 1:18.718,23 1:17.847,,23 1:17.694,23 1:17.353,23 1:17.188,,23,78.718,77.847,77.694,77.353,77.188,,-4.833,,2.482,1.833
24 1:18.162,24 1:17.982,,24 1:17.241,24 1:17.238,24 1:17.212,,24,78.162,77.982,77.241,77.238,77.212,,-5.013,,2.479,1.804
25 1:18.775,25 1:17.747,,25 1:17.042,25 1:17.854,25 1:17.210,,25,78.775,77.747,77.042,77.854,77.210,,-6.041,,3.291,1.972
26 1:18.351,26 1:17.904,,26 1:17.150,26 1:17.870,26 1:17.353,,26,78.351,77.904,77.150,77.870,77.353,,-6.488,,4.011,2.175
27 1:18.603,27 1:17.971,,27 1:17.051,27 1:17.643,27 1:17.606,,27,78.603,77.971,77.051,77.643,77.606,,-7.120,,4.603,2.730
28 1:18.563,28 1:17.884,,28 1:17.401,28 1:17.569,28 1:17.434,,28,78.563,77.884,77.401,77.569,77.434,,-7.799,,4.771,2.763
29 1:18.168,29 1:17.937,,29 1:17.790,29 1:17.432,29 1:17.540,,29,78.168,77.937,77.790,77.432,77.540,,-8.030,,4.413,2.513
30 1:18.210,30 1:18.025,,30 1:17.176,30 1:17.421,30 1:17.692,,30,78.210,78.025,77.176,77.421,77.692,,-8.215,,4.658,3.029
31 1:18.120,31 1:17.861,,31 1:17.251,31 1:17.440,31 1:17.382,,31,78.120,77.861,77.251,77.440,77.382,,-8.474,,4.847,3.160
32 1:18.008,32 1:18.069,,32 1:17.599,32 1:17.359,32 1:17.387,,32,78.008,78.069,77.599,77.359,77.387,,-8.413,,4.607,2.948
33 1:18.019,33 1:18.029,,33 1:17.279,33 1:17.533,33 1:17.189,,33,78.019,78.029,77.279,77.533,77.189,,-8.403,,4.861,2.858
34 1:18.271,34 1:18.097,,34 1:17.500,34 1:17.636,34 1:17.461,,34,78.271,78.097,77.500,77.636,77.461,,-8.577,,4.997,2.819
35 1:18.426,35 1:18.236,,35 1:17.650,35 1:17.452,35 1:17.742,,35,78.426,78.236,77.650,77.452,77.742,,-8.767,,4.799,2.911
36 1:18.005,36 P 1:34.988,,36 1:17.875,36 1:17.854,36 1:18.034,,36,78.005,94.988,77.875,77.854,78.034,,8.216,,4.778,3.070
37 1:18.128,37 1:20.851,,37 1:17.036,37 1:17.495,37 1:17.421,,37,78.128,80.851,77.036,77.495,77.421,,10.939,,5.237,3.455
38 1:17.782,38 1:17.334,,38 1:17.438,38 P 1:34.125,38 1:17.566,,38,77.782,77.334,77.438,94.125,77.566,,10.491,,21.924,3.583
39 1:18.441,39 1:17.173,,39 1:17.517,39 1:20.059,39 P 1:34.031,,39,78.441,77.173,77.517,80.059,94.031,,9.223,,24.466,20.097
40 1:18.091,40 1:17.071,,40 P 1:33.525,40 1:17.039,40 1:20.182,,40,78.091,77.071,93.525,77.039,80.182,,8.203,,7.980,6.754
41 1:18.003,41 1:17.074,,41 1:20.396,41 1:16.430,41 1:17.006,,41,78.003,77.074,80.396,76.430,77.006,,7.274,,4.014,3.364
42 1:17.724,42 1:17.059,,42 1:16.905,42 1:16.722,42 1:16.180,,42,77.724,77.059,76.905,76.722,76.180,,6.609,,3.831,2.639
43 1:17.673,43 1:17.130,,43 1:16.281,43 1:17.079,43 1:16.300,,43,77.673,77.130,76.281,77.079,76.300,,6.066,,4.629,2.658
44 1:17.554,44 1:17.067,,44 1:16.003,44 1:16.525,44 1:16.143,,44,77.554,77.067,76.003,76.525,76.143,,5.579,,5.151,2.798
45 1:17.655,45 1:16.869,,45 1:16.005,45 1:16.099,45 1:16.401,,45,77.655,76.869,76.005,76.099,76.401,,4.793,,5.245,3.194
46 1:17.657,46 1:16.855,,46 1:15.879,46 1:16.100,46 1:16.131,,46,77.657,76.855,75.879,76.100,76.131,,3.991,,5.466,3.446
47 1:17.452,47 1:16.972,,47 1:15.396,47 1:15.911,47 1:15.907,,47,77.452,76.972,75.396,75.911,75.907,,3.511,,5.981,3.957
