Lap,Times MV,Laptime (s) MV,Cumulative Racetime (s) MV,,Times SP,Laptime (s) SP,Cumulative Racetime (s) SP,,Delta (s),,,1 Max VERSTAPPEN,11 Sergio PEREZ
1,01:41.7,101.724,101.724,,01:36.2,96.191,96.191,,-5.533,,,LAP TIME,LAP TIME
2,01:34.3,94.26,195.984,,01:34.0,93.963,190.154,,-5.83,,,1 1:41.724,1 1:36.191
3,01:34.1,94.127,290.111,,01:33.5,93.516,283.67,,-6.441,,,2 1:34.260,2 1:33.963
4,01:32.9,92.935,383.046,,01:33.1,93.079,376.749,,-6.297,,,3 1:34.127,3 1:33.516
5,01:32.9,92.875,475.921,,01:33.3,93.258,470.007,,-5.914,,,4 1:32.935,4 1:33.079
6,01:32.8,92.753,568.674,,01:33.4,93.362,563.369,,-5.305,,,5 1:32.875,5 1:33.258
7,01:32.6,92.555,661.229,,01:32.9,92.865,656.234,,-4.995,,,6 1:32.753,6 1:33.362
8,01:32.9,92.947,754.176,,01:33.1,93.142,749.376,,-4.8,,,7 1:32.555,7 1:32.865
9,01:33.0,92.988,847.164,,01:33.1,93.096,842.472,,-4.692,,,8 1:32.947,8 1:33.142
10,01:32.7,92.74,939.904,,01:32.6,92.599,935.071,,-4.833,,,9 1:32.988,9 1:33.096
11,01:32.3,92.251,1032.155,,01:32.5,92.478,1027.549,,-4.606,,,10 1:32.740,10 1:32.599
12,01:32.3,92.304,1124.459,,01:32.4,92.37,1119.919,,-4.54,,,11 1:32.251,11 1:32.478
13,01:31.7,91.736,1216.195,,01:31.9,91.916,1211.835,,-4.36,,,12 1:32.304,12 1:32.370
14,01:32.2,92.193,1308.388,,01:32.6,92.624,1304.459,,-3.929,,,13 1:31.736,13 1:31.916
15,01:32.4,92.433,1400.821,,01:32.6,92.603,1397.062,,-3.759,,,14 1:32.193,14 1:32.624
16,01:32.3,92.333,1493.154,,01:33.1,93.063,1490.125,,-3.029,,,15 1:32.433,15 1:32.603
17,01:32.5,92.455,1585.609,,01:32.9,92.903,1583.028,,-2.581,,,16 1:32.333,16 1:33.063
18,01:32.1,92.124,1677.733,,01:32.5,92.491,1675.519,,-2.214,,,17 1:32.455,17 1:32.903
19,01:32.1,92.073,1769.806,,01:32.7,92.7,1768.219,,-1.587,,,18 1:32.124,18 1:32.491
20,01:32.2,92.203,1862.009,,01:37.9,97.863,1866.082,,4.073,,,19 1:32.073,19 1:32.700
21,01:32.4,92.351,1954.36,,01:46.8,106.826,1972.908,,18.548,,,20 1:32.203,20 P 1:37.863
22,01:32.3,92.267,2046.627,,01:31.5,91.533,2064.441,,17.814,,,21 1:32.351,21 1:46.826
23,01:31.9,91.906,2138.533,,01:31.9,91.864,2156.305,,17.772,,,22 1:32.267,22 1:31.533
24,01:32.1,92.126,2230.659,,01:31.4,91.446,2247.751,,17.092,,,23 1:31.906,23 1:31.864
25,01:31.9,91.919,2322.578,,01:31.4,91.444,2339.195,,16.617,,,24 1:32.126,24 1:31.446
26,01:31.9,91.922,2414.5,,01:31.6,91.587,2430.782,,16.282,,,25 1:31.919,25 1:31.444
27,01:31.8,91.829,2506.329,,01:31.9,91.852,2522.634,,16.305,,,26 1:31.922,26 1:31.587
28,01:31.8,91.776,2598.105,,01:31.6,91.597,2614.231,,16.126,,,27 1:31.829,27 1:31.852
29,01:31.8,91.82,2689.925,,01:31.6,91.583,2705.814,,15.889,,,28 1:31.776,28 1:31.597
30,01:32.5,92.484,2782.409,,01:31.5,91.49,2797.304,,14.895,,,29 1:31.820,29 1:31.583
31,01:31.6,91.627,2874.036,,01:32.1,92.111,2889.415,,15.379,,,30 1:32.484,30 1:31.490
32,01:31.3,91.293,2965.329,,01:31.4,91.383,2980.798,,15.469,,,31 1:31.627,31 1:32.111
33,01:31.5,91.481,3056.81,,01:31.8,91.791,3072.589,,15.779,,,32 1:31.293,32 1:31.383
34,01:31.4,91.43,3148.24,,01:31.4,91.41,3163.999,,15.759,,,33 1:31.481,33 1:31.791
35,01:31.2,91.225,3239.465,,01:31.3,91.326,3255.325,,15.86,,,34 1:31.430,34 1:31.410
36,01:31.4,91.384,3330.849,,01:31.2,91.192,3346.517,,15.668,,,35 1:31.225,35 1:31.326
37,01:31.3,91.268,3422.117,,01:31.4,91.435,3437.952,,15.835,,,36 1:31.384,36 1:31.192
38,01:31.2,91.199,3513.316,,01:32.3,92.314,3530.266,,16.95,,,37 1:31.268,37 1:31.435
39,01:31.4,91.444,3604.76,,01:31.8,91.755,3622.021,,17.261,,,38 1:31.199,38 1:32.314
40,01:31.3,91.288,3696.048,,01:31.6,91.64,3713.661,,17.613,,,39 1:31.444,39 1:31.755
41,01:31.0,91.004,3787.052,,01:31.5,91.506,3805.167,,18.115,,,40 1:31.288,40 1:31.640
42,01:31.1,91.122,3878.174,,01:31.3,91.314,3896.481,,18.307,,,41 1:31.004,41 1:31.506
43,01:31.0,90.988,3969.162,,01:31.2,91.214,3987.695,,18.533,,,42 1:31.122,42 1:31.314
44,01:31.1,91.056,4060.218,,01:30.9,90.897,4078.592,,18.374,,,43 1:30.988,43 1:31.214
45,01:35.9,95.856,4156.074,,01:31.3,91.291,4169.883,,13.809,,,44 1:31.056,44 1:30.897
46,01:46.1,106.123,4262.197,,01:31.6,91.559,4261.442,,-0.755,,,45 P 1:35.856,45 1:31.291
47,01:31.2,91.179,4353.376,,01:31.8,91.783,4353.225,,-0.151,,,46 1:46.123,46 1:31.559
48,01:30.6,90.637,4444.013,,01:32.3,92.334,4445.559,,1.546,,,47 1:31.179,47 1:31.783
49,01:30.9,90.91,4534.923,,01:31.0,90.997,4536.556,,1.633,,,48 1:30.637,48 1:32.334
50,01:30.8,90.837,4625.76,,01:31.0,91.036,4627.592,,1.832,,,49 1:30.910,49 1:30.997
51,01:30.7,90.699,4716.459,,01:31.2,91.247,4718.839,,2.38,,,50 1:30.837,50 1:31.036
52,01:30.4,90.372,4806.831,,01:30.7,90.689,4809.528,,2.697,,,51 1:30.699,51 1:31.247
53,01:30.5,90.546,4897.377,,01:30.7,90.688,4900.216,,2.839,,,52 1:30.372,52 1:30.689
54,01:30.5,90.492,4987.869,,01:30.7,90.716,4990.932,,3.063,,,53 1:30.546,53 1:30.688
55,01:30.4,90.391,5078.26,,01:30.6,90.635,5081.567,,3.307,,,54 1:30.492,54 1:30.716
56,01:29.7,89.708,5167.968,,01:31.5,91.498,5173.065,,5.097,,,55 1:30.391,55 1:30.635
57,01:30.3,90.273,5258.241,,01:30.6,90.56,5263.625,,5.384,,,56 1:29.708,56 1:31.498
,,,,,,,,,,,,57 1:30.273,57 1:30.560
