1 Max VERSTAPPEN,,MV_Laptime_s,MV_Cumulative,,11 Sergio PEREZ,,SP_Laptime_s,SP_Cumulative,,2 Logan SARGEANT,,SAR_Laptime_s,SAR_Cumulative,,23 Alex ALBON,,AA_Laptime_s,AA_Cumulative,,4 Lando NORRIS,,LN_Laptime_s,LN_Cumulative,,81 Oscar PIASTRI,,OP_Laptime_s,OP_Cumulative,,10 Pierre GASLY,,PG_Laptime_s,PG_Cumulative,,31 Esteban OCON,,EO_Laptime_s,EO_Cumulative,,14 Fernando ALONSO,,FA_Laptime_s,FA_Cumulative,,18 Lance STROLL,,LS_Laptime_s,LS_Cumulative,,16 Charles LECLERC,,CL_Laptime_s,CL_Cumulative,,55 Carlos SAINZ,,CS_Laptime_s,CS_Cumulative,,20 Kevin MAGNUSSEN,,KM_Laptime_s,KM_Cumulative,,27 Nico HULKENBERG,,NH_Laptime_s,NH_Cumulative,,3 Daniel RICCIARDO,,RIC_Laptime_s,RIC_Cumulative,,22 Yuki TSUNODA,,YT_Laptime_s,YT_Cumulative,,24 Guanyu ZHOU,,GZ_Laptime_s,GZ_Cumulative,,77 Valterri BOTTAS,,VB_Laptime_s,VB_Cumulative,,44 Lewis HAMILTON,,LH_Laptime_s,LH_Cumulative,,63 George RUSSELL,,GR_Laptime_s,GR_Cumulative,,,,RBR1,RBR2,SF1,SF2,M-AMG1,M_AMG2,AMR1,AMR2,MCL1,MCL2,ALP1,ALP2,ATO1,ATO2,WIL1,WIL2,HAS1,HAS2,SAUB1,SAUB2
1 1:34.338,1:34.338,94.338,94.338,,1 1:38.282,1:38.282,98.282,98.282,,1 1:44.320,1:44.320,104.320,104.320,,1 1:43.958,1:43.958,103.958,103.958,,1 1:38.919,1:38.919,98.919,98.919,,1 1:36.848,1:36.848,96.848,96.848,,1 1:43.357,1:43.357,103.357,103.357,,1 1:43.733,1:43.733,103.733,103.733,,1 1:43.024,1:43.024,103.024,103.024,,1 1:42.004,1:42.004,102.004,102.004,,1 1:35.697,1:35.697,95.697,95.697,,1 1:37.234,1:37.234,97.234,97.234,,1 1:44.924,1:44.924,104.924,104.924,,1 1:40.159,1:40.159,100.159,100.159,,1 1:46.666,1:46.666,106.666,106.666,,1 1:41.055,1:41.055,101.055,101.055,,1 1:45.046,1:45.046,105.046,105.046,,1 1:45.784,1:45.784,105.784,105.784,,1 1:39.924,1:39.924,99.924,99.924,,1 1:41.627,1:41.627,101.627,101.627,,,RefTime,VER,PER,LEC,SAI,HAM,RUS,ALO,STR,NOR,PIA,OCO,GAS,TSU,RIC,ALB,SAR,MAG,HUL,BOT,ZHO
2 1:33.093,1:33.093,93.093,187.431,,2 1:33.181,1:33.181,93.181,191.463,,2 1:35.367,1:35.367,95.367,199.687,,2 1:34.925,1:34.925,94.925,198.883,,2 1:34.199,1:34.199,94.199,193.118,,2 1:32.827,1:32.827,92.827,189.675,,2 1:34.498,1:34.498,94.498,197.855,,2 1:35.438,1:35.438,95.438,199.171,,2 1:35.579,1:35.579,95.579,198.603,,2 1:34.526,1:34.526,94.526,196.530,,2 1:33.317,1:33.317,93.317,189.014,,2 1:32.990,1:32.990,92.99,190.224,,2 1:36.868,1:36.868,96.868,201.792,,2 1:33.938,1:33.938,93.938,194.097,,2 1:35.593,1:35.593,95.593,202.259,,2 1:34.337,1:34.337,94.337,195.392,,2 1:36.265,1:36.265,96.265,201.311,,2 1:35.803,1:35.803,95.803,201.587,,2 1:34.966,1:34.966,94.966,194.89,,2 1:34.395,1:34.395,94.395,196.022,,1,95.612,-1.274,2.670,0.085,1.622,4.312,6.015,7.412,6.392,3.307,1.236,8.121,7.745,5.443,11.054,8.346,8.708,9.312,4.547,10.172,9.434
3 1:33.137,1:33.137,93.137,280.568,,3 1:33.521,1:33.521,93.521,284.984,,3 1:34.646,1:34.646,94.646,294.333,,3 1:34.309,1:34.309,94.309,293.192,,3 1:33.687,1:33.687,93.687,286.805,,3 1:33.063,1:33.063,93.063,282.738,,3 1:33.789,1:33.789,93.789,291.644,,3 1:34.667,1:34.667,94.667,293.838,,3 1:34.003,1:34.003,94.003,292.606,,3 1:34.214,1:34.214,94.214,290.744,,3 1:33.310,1:33.310,93.31,282.324,,3 1:33.239,1:33.239,93.239,283.463,,3 1:35.280,1:35.280,95.28,297.072,,3 1:34.140,1:34.140,94.14,288.237,,3 1:35.732,1:35.732,95.732,297.991,,3 1:34.277,1:34.277,94.277,289.669,,3 1:34.339,1:34.339,94.339,295.65,,3 1:34.634,1:34.634,94.634,296.221,,3 1:34.031,1:34.031,94.031,288.921,,3 1:34.095,1:34.095,94.095,290.117,,2,191.224,-3.793,0.239,-2.210,-1.000,3.666,4.798,7.379,5.306,1.894,-1.549,7.947,6.631,4.168,11.035,7.659,8.463,10.568,2.873,10.363,10.087
4 1:33.504,1:33.504,93.504,374.072,,4 1:33.425,1:33.425,93.425,378.409,,4 1:34.303,1:34.303,94.303,388.636,,4 1:33.889,1:33.889,93.889,387.081,,4 1:33.674,1:33.674,93.674,380.479,,4 1:33.119,1:33.119,93.119,375.857,,4 1:34.155,1:34.155,94.155,385.799,,4 1:34.013,1:34.013,94.013,387.851,,4 1:34.022,1:34.022,94.022,386.628,,4 1:34.066,1:34.066,94.066,384.810,,4 1:33.774,1:33.774,93.774,376.098,,4 1:33.249,1:33.249,93.249,376.712,,4 1:34.460,1:34.460,94.46,391.532,,4 1:33.818,1:33.818,93.818,382.055,,4 1:34.907,1:34.907,94.907,392.898,,4 1:33.892,1:33.892,93.892,383.561,,4 1:34.357,1:34.357,94.357,390.007,,4 1:34.397,1:34.397,94.397,390.618,,4 1:33.861,1:33.861,93.861,382.782,,4 1:34.125,1:34.125,94.125,384.242,,3,286.836,-6.268,-1.852,-4.512,-3.373,2.085,3.281,5.770,3.908,-0.031,-4.098,7.002,4.808,2.833,11.155,6.356,7.497,10.236,1.401,9.385,8.814
5 1:32.834,1:32.834,92.834,466.906,,5 1:33.318,1:33.318,93.318,471.727,,5 1:33.833,1:33.833,93.833,482.469,,5 1:34.174,1:34.174,94.174,481.255,,5 1:33.260,1:33.260,93.260,473.739,,5 1:33.321,1:33.321,93.321,469.178,,5 1:34.190,1:34.190,94.190,479.989,,5 1:33.908,1:33.908,93.908,481.759,,5 1:34.018,1:34.018,94.018,480.646,,5 1:34.506,1:34.506,94.506,479.316,,5 1:33.809,1:33.809,93.809,469.907,,5 1:33.569,1:33.569,93.569,470.281,,5 1:34.221,1:34.221,94.221,485.753,,5 1:33.776,1:33.776,93.776,475.831,,5 1:34.201,1:34.201,94.201,487.099,,5 1:35.267,1:35.267,95.267,478.828,,5 1:33.673,1:33.673,93.673,483.68,,5 1:33.828,1:33.828,93.828,484.446,,5 1:33.666,1:33.666,93.666,476.448,,5 1:33.932,1:33.932,93.932,478.174,,4,382.447,-8.375,-4.038,-6.349,-5.735,0.335,1.795,4.181,2.363,-1.968,-6.590,5.404,3.352,1.114,10.451,4.634,6.189,9.085,-0.392,8.171,7.560
6 1:32.939,1:32.939,92.939,559.845,,6 1:33.198,1:33.198,93.198,564.925,,6 1:34.465,1:34.465,94.465,576.934,,6 1:34.260,1:34.260,94.260,575.515,,6 1:33.172,1:33.172,93.172,566.911,,6 1:32.878,1:32.878,92.878,562.056,,6 1:34.004,1:34.004,94.004,573.993,,6 1:34.440,1:34.440,94.440,576.199,,6 1:34.060,1:34.060,94.060,574.706,,6 1:33.917,1:33.917,93.917,573.233,,6 1:32.940,1:32.940,92.94,562.847,,6 1:32.911,1:32.911,92.911,563.192,,6 1:33.856,1:33.856,93.856,579.609,,6 1:33.561,1:33.561,93.561,569.392,,6 1:33.982,1:33.982,93.982,581.081,,6 1:33.902,1:33.902,93.902,572.73,,6 1:34.318,1:34.318,94.318,577.998,,6 1:34.373,1:34.373,94.373,578.819,,6 1:33.679,1:33.679,93.679,570.127,,6 1:33.636,1:33.636,93.636,571.81,,5,478.059,-11.153,-6.332,-8.152,-7.778,-1.611,0.115,2.587,1.257,-4.320,-8.881,3.700,1.930,0.769,9.040,3.196,4.410,7.694,-2.228,6.387,5.621
7 1:32.895,1:32.895,92.895,652.740,,7 1:33.175,1:33.175,93.175,658.100,,7 1:34.641,1:34.641,94.641,671.575,,7 1:34.475,1:34.475,94.475,669.990,,7 1:33.165,1:33.165,93.165,660.076,,7 1:33.355,1:33.355,93.355,655.411,,7 1:34.291,1:34.291,94.291,668.284,,7 1:34.127,1:34.127,94.127,670.326,,7 1:34.605,1:34.605,94.605,669.311,,7 1:34.064,1:34.064,94.064,667.297,,7 1:33.278,1:33.278,93.278,656.125,,7 1:33.421,1:33.421,93.421,656.613,,7 1:34.666,1:34.666,94.666,674.275,,7 1:34.953,1:34.953,94.953,664.345,,7 1:34.345,1:34.345,94.345,675.426,,7 1:33.682,1:33.682,93.682,666.412,,7 1:34.455,1:34.455,94.455,672.453,,7 1:34.395,1:34.395,94.395,673.214,,7 1:34.466,1:34.466,94.466,664.593,,7 1:33.936,1:33.936,93.936,665.746,,6,573.671,-13.826,-8.746,-10.824,-10.479,-3.544,-1.861,1.035,-0.438,-6.760,-11.615,2.528,0.322,-0.941,7.410,1.844,3.263,5.938,-4.279,5.148,4.327
8 1:32.838,1:32.838,92.838,745.578,,8 1:33.147,1:33.147,93.147,751.247,,8 1:34.474,1:34.474,94.474,766.049,,8 1:33.981,1:33.981,93.981,763.971,,8 1:32.999,1:32.999,92.999,753.075,,8 1:33.067,1:33.067,93.067,748.478,,8 1:33.804,1:33.804,93.804,762.088,,8 1:34.490,1:34.490,94.490,764.816,,8 1:33.751,1:33.751,93.751,763.062,,8 1:33.768,1:33.768,93.768,761.065,,8 1:33.113,1:33.113,93.113,749.238,,8 1:33.339,1:33.339,93.339,749.952,,8 1:35.192,1:35.192,95.192,769.467,,8 1:34.304,1:34.304,94.304,758.649,,8 1:34.892,1:34.892,94.892,770.318,,8 1:34.022,1:34.022,94.022,760.434,,8 1:34.539,1:34.539,94.539,766.992,,8 1:34.754,1:34.754,94.754,767.968,,8 1:34.621,1:34.621,94.621,759.214,,8 1:33.819,1:33.819,93.819,759.565,,7,669.283,-16.543,-11.183,-13.158,-12.670,-4.690,-3.537,0.028,-1.986,-9.207,-13.872,1.043,-0.999,-2.871,6.143,0.707,2.292,4.992,-4.938,3.931,3.170
9 1:33.289,1:33.289,93.289,838.867,,9 1:33.490,1:33.490,93.490,844.737,,9 1:34.275,1:34.275,94.275,860.324,,9 1:34.249,1:34.249,94.249,858.220,,9 1:33.429,1:33.429,93.429,846.504,,9 1:33.092,1:33.092,93.092,841.57,,9 1:33.953,1:33.953,93.953,856.041,,9 1:34.119,1:34.119,94.119,858.935,,9 1:34.006,1:34.006,94.006,857.068,,9 1:34.100,1:34.100,94.100,855.165,,9 1:33.152,1:33.152,93.152,842.39,,9 1:33.078,1:33.078,93.078,843.03,,9 1:34.577,1:34.577,94.577,864.044,,9 1:34.126,1:34.126,94.126,852.775,,9 1:34.655,1:34.655,94.655,864.973,,9 1:34.117,1:34.117,94.117,854.551,,9 1:34.263,1:34.263,94.263,861.255,,9 1:34.597,1:34.597,94.597,862.565,,9 1:34.024,1:34.024,94.024,853.238,,9 1:34.359,1:34.359,94.359,853.924,,8,764.895,-19.317,-13.648,-15.657,-14.943,-5.681,-5.330,-1.833,-3.830,-11.820,-16.417,-0.079,-2.807,-4.461,5.423,-0.924,1.154,4.572,-6.246,3.073,2.097
10 1:33.267,1:33.267,93.267,932.134,,10 1:33.579,1:33.579,93.579,938.316,,10 1:34.582,1:34.582,94.582,954.906,,10 P 1:39.601,1:39.601,99.601,957.821,,10 1:33.230,1:33.230,93.230,939.734,,10 1:33.592,1:33.592,93.592,935.162,,10 1:34.731,1:34.731,94.731,950.772,,10 1:34.356,1:34.356,94.356,953.291,,10 1:34.619,1:34.619,94.619,951.687,,10 1:34.518,1:34.518,94.518,949.683,,10 1:33.478,1:33.478,93.478,935.868,,10 1:33.334,1:33.334,93.334,936.364,,10 1:35.118,1:35.118,95.118,959.162,,10 1:35.543,1:35.543,95.543,948.318,,10 1:35.293,1:35.293,95.293,960.266,,10 1:34.916,1:34.916,94.916,949.467,,10 1:34.286,1:34.286,94.286,955.541,,10 1:34.726,1:34.726,94.726,957.291,,10 1:34.602,1:34.602,94.602,947.84,,10 1:34.785,1:34.785,94.785,948.709,,9,860.507,-21.640,-15.770,-18.117,-17.477,-7.269,-6.583,-3.439,-5.342,-14.003,-18.937,-1.572,-4.466,-5.956,4.466,-2.287,-0.183,3.537,-7.732,2.058,0.748
