33 Max VERSTAPPEN,,MV_Laptime_s,MV_Cumulative,,11 Sergio PEREZ,,SP_Laptime_s,SP_Cumulative,,89 Jack AITKEN,,AIT_Laptime_s,AIT_Cumulative,,23 Alex ALBON,,AA_Laptime_s,AA_Cumulative,,4 Lando NORRIS,,LN_Laptime_s,LN_Cumulative,,6 Nicholas LATIFI,,NL_Laptime_s,NL_Cumulative,,10 Pierre GASLY,,PG_Laptime_s,PG_Cumulative,,31 Esteban OCON,,EO_Laptime_s,EO_Cumulative,,5 Seb VETTEL,,SV_Laptime_s,SV_Cumulative,,18 Lance STROLL,,LS_Laptime_s,LS_Cumulative,,16 Charles LECLERC,,CL_Laptime_s,CL_Cumulative,,55 Carlos SAINZ,,CS_Laptime_s,CS_Cumulative,,20 Kevin MAGNUSSEN,,KM_Laptime_s,KM_Cumulative,,51 Pietro FITTIPALDI,,PF_Laptime_s,PF_Cumulative,,3 Daniel RICCIARDO,,RIC_Laptime_s,RIC_Cumulative,,26 Daniil Kvyat,,DK_Laptime_s,DK_Cumulative,,99 Antonio GIO,,AG_Laptime_s,AG_Cumulative,,77 Valterri BOTTAS,,VB_Laptime_s,VB_Cumulative,,7 Kimi RAI,,KR_Laptime_s,KR_Cumulative,,63 George RUSSELL,,GR_Laptime_s,GR_Cumulative,,,,RBR1,RP1,SF1,MCL2,M-AMG1,M_AMG2,SF2,RP2,MCL1,WIL1,REN1,ATO1,ATO2,REN2,RBR2,WIL2,HAS1,HAS2,SAUB1,SAUB2
,,#VALUE!,#VALUE!,,1 P 1:40.485,1:40.485,100.485,100.485,,1 1:35.051,1:35.051,95.051,95.051,,1 1:32.043,1:32.043,92.043,92.043,,1 1:29.104,1:29.104,89.104,89.104,,1 1:33.729,1:33.729,93.729,93.729,,1 1:22.823,1:22.823,82.823,82.823,,1 1:24.225,1:24.225,84.225,84.225,,1 1:26.790,1:26.790,86.790,86.790,,1 1:20.518,1:20.518,80.518,80.518,,,,#VALUE!,#VALUE!,,1 1:14.191,1:14.191,74.191,74.191,,1 1:30.611,1:30.611,90.611,90.611,,1 1:36.641,1:36.641,96.641,96.641,,1 1:18.025,1:18.025,78.025,78.025,,1 1:19.601,1:19.601,79.601,79.601,,1 1:32.831,1:32.831,92.831,92.831,,1 1:12.014,1:12.014,72.014,72.014,,1 1:38.030,1:38.030,98.03,98.03,,1 1:08.922,1:08.922,68.922,68.922,,,RefTime,VER,PER,LEC,SAI,BOT,RUS,VET,STR,NOR,LAT,OCO,GAS,KVY,RIC,ALB,AIT,MAG,FIT,RAI,GIO
,,#VALUE!,#VALUE!,,2 1:32.531,1:32.531,92.531,193.016,,2 1:34.286,1:34.286,94.286,189.337,,2 1:33.111,1:33.111,93.111,185.154,,2 1:33.198,1:33.198,93.198,182.302,,2 1:33.989,1:33.989,93.989,187.718,,2 1:33.553,1:33.553,93.553,176.376,,2 1:33.924,1:33.924,93.924,178.149,,2 1:32.827,1:32.827,92.827,179.617,,2 1:34.619,1:34.619,94.619,175.137,,,,#VALUE!,#VALUE!,,2 1:35.563,1:35.563,95.563,169.754,,2 1:33.259,1:33.259,93.259,183.87,,2 1:33.180,1:33.180,93.18,189.821,,2 1:33.786,1:33.786,93.786,171.811,,2 1:34.319,1:34.319,94.319,173.92,,2 1:33.445,1:33.445,93.445,186.276,,2 1:36.914,1:36.914,96.914,168.928,,2 1:34.001,1:34.001,94.001,192.031,,2 1:38.421,1:38.421,98.421,167.343,,1,62.932,,37.553,,11.259,9.082,5.990,23.858,17.586,26.172,30.797,21.293,19.891,16.669,15.093,29.111,32.119,27.679,33.709,35.098,29.899
,,#VALUE!,#VALUE!,,3 1:32.331,1:32.331,92.331,285.347,,3 1:30.745,1:30.745,90.745,280.082,,3 1:30.929,1:30.929,90.929,276.083,,3 1:31.167,1:31.167,91.167,273.469,,3 1:29.389,1:29.389,89.389,277.107,,3 1:31.409,1:31.409,91.409,267.785,,3 1:30.797,1:30.797,90.797,268.946,,3 1:31.236,1:31.236,91.236,270.853,,3 1:30.389,1:30.389,90.389,265.526,,,,#VALUE!,#VALUE!,,3 1:29.628,1:29.628,89.628,259.382,,3 1:30.789,1:30.789,90.789,274.659,,3 1:31.123,1:31.123,91.123,280.944,,3 1:30.443,1:30.443,90.443,262.254,,3 1:30.678,1:30.678,90.678,264.598,,3 1:31.983,1:31.983,91.983,278.259,,3 1:29.641,1:29.641,89.641,258.569,,3 1:30.648,1:30.648,90.648,282.679,,3 1:29.830,1:29.830,89.83,257.173,,2,125.865,,67.151,,43.889,43.063,41.478,53.752,49.272,56.437,61.853,52.284,50.511,48.055,45.946,59.289,63.472,58.005,63.956,66.166,60.411
,,#VALUE!,#VALUE!,,4 1:29.676,1:29.676,89.676,375.023,,4 1:30.538,1:30.538,90.538,370.620,,4 1:29.894,1:29.894,89.894,365.977,,4 1:29.521,1:29.521,89.521,362.990,,4 1:29.909,1:29.909,89.909,367.016,,4 1:29.513,1:29.513,89.513,357.298,,4 1:29.625,1:29.625,89.625,358.571,,4 1:30.514,1:30.514,90.514,361.367,,4 1:30.509,1:30.509,90.509,356.035,,,,#VALUE!,#VALUE!,,4 1:32.053,1:32.053,92.053,351.435,,4 1:29.707,1:29.707,89.707,364.366,,4 1:31.219,1:31.219,91.219,372.163,,4 1:30.233,1:30.233,90.233,352.487,,4 1:29.735,1:29.735,89.735,354.333,,4 1:29.852,1:29.852,89.852,368.111,,4 1:31.822,1:31.822,91.822,350.391,,4 1:31.412,1:31.412,91.412,374.091,,4 1:32.256,1:32.256,92.256,349.429,,3,188.797,,96.550,,70.585,69.772,68.376,82.056,76.729,84.672,88.310,80.149,78.988,75.801,73.457,87.286,91.285,85.862,92.147,93.882,89.462
,,#VALUE!,#VALUE!,,5 1:31.635,1:31.635,91.635,466.658,,5 1:32.414,1:32.414,92.414,463.034,,5 1:32.214,1:32.214,92.214,458.191,,5 1:33.888,1:33.888,93.888,456.878,,5 1:33.586,1:33.586,93.586,460.602,,5 1:32.311,1:32.311,92.311,449.609,,5 1:32.817,1:32.817,92.817,451.388,,5 1:33.130,1:33.130,93.130,454.497,,5 1:31.719,1:31.719,91.719,447.754,,,,#VALUE!,#VALUE!,,5 1:30.161,1:30.161,90.161,441.596,,5 1:35.575,1:35.575,95.575,459.941,,5 1:31.944,1:31.944,91.944,464.107,,5 1:31.533,1:31.533,91.533,444.02,,5 1:31.994,1:31.994,91.994,446.327,,5 1:33.552,1:33.552,93.552,461.663,,5 1:30.462,1:30.462,90.462,440.853,,5 1:31.130,1:31.130,91.13,465.221,,5 1:30.133,1:30.133,90.133,439.562,,4,251.729,,123.294,,99.706,98.662,97.700,109.638,104.306,111.261,115.287,106.842,105.569,102.604,100.758,114.248,118.891,112.637,120.434,122.362,116.382
,,#VALUE!,#VALUE!,,6 1:10.061,1:10.061,70.061,536.719,,6 1:11.998,1:11.998,71.998,535.032,,6 1:14.614,1:14.614,74.614,532.805,,6 1:15.339,1:15.339,75.339,532.217,,6 1:12.926,1:12.926,72.926,533.528,,6 1:21.472,1:21.472,81.472,531.081,,6 1:20.122,1:20.122,80.122,531.510,,6 1:17.607,1:17.607,77.607,532.104,,6 1:22.843,1:22.843,82.843,530.597,,,,#VALUE!,#VALUE!,,6 1:27.502,1:27.502,87.502,529.098,,6 1:13.441,1:13.441,73.441,533.382,,6 1:11.799,1:11.799,71.799,535.906,,6 1:25.655,1:25.655,85.655,529.675,,6 1:23.865,1:23.865,83.865,530.192,,6 1:12.671,1:12.671,72.671,534.334,,6 1:28.014,1:28.014,88.014,528.867,,6 1:11.179,1:11.179,71.179,536.4,,6 1:28.698,1:28.698,88.698,528.26,,5,314.662,,151.996,,126.934,126.191,124.900,139.835,133.092,142.216,145.940,136.726,134.947,131.665,129.358,143.529,148.372,145.279,149.445,150.559,147.001
,,#VALUE!,#VALUE!,,7 0:59.233,0:59.233,59.233,595.952,,7 1:00.720,1:00.720,60.720,595.752,,7 1:00.507,1:00.507,60.507,593.312,,7 1:00.390,1:00.390,60.390,592.607,,7 1:01.408,1:01.408,61.408,594.936,,7 0:59.592,0:59.592,59.592,590.673,,7 0:59.717,0:59.717,59.717,591.227,,7 1:00.094,1:00.094,60.094,592.198,,7 0:59.626,0:59.626,59.626,590.223,,,,#VALUE!,#VALUE!,,7 0:59.252,0:59.252,59.252,588.35,,7 1:00.991,1:00.991,60.991,594.373,,7 1:00.520,1:00.520,60.52,596.426,,7 0:59.429,0:59.429,59.429,589.104,,7 0:59.528,0:59.528,59.528,589.72,,7 1:00.959,1:00.959,60.959,595.293,,7 0:58.679,0:58.679,58.679,587.546,,7 1:00.593,1:00.593,60.593,596.993,,7 0:58.160,0:58.160,58.16,586.42,,6,377.594,,159.125,,151.504,151.273,150.666,154.510,153.003,154.623,155.934,153.916,153.487,152.598,152.081,155.211,157.438,155.788,158.312,158.806,156.740
,,#VALUE!,#VALUE!,,8 0:59.698,0:59.698,59.698,655.650,,8 1:00.981,1:00.981,60.981,656.733,,8 0:59.490,0:59.490,59.490,652.802,,8 0:59.242,0:59.242,59.242,651.849,,8 1:00.136,1:00.136,60.136,655.072,,8 0:59.323,0:59.323,59.323,649.996,,8 0:59.450,0:59.450,59.450,650.677,,8 1:00.729,1:00.729,60.729,652.927,,8 0:59.239,0:59.239,59.239,649.462,,,,#VALUE!,#VALUE!,,8 0:58.824,0:58.824,58.824,647.174,,8 0:59.709,0:59.709,59.709,654.082,,8 1:01.593,1:01.593,61.593,658.019,,8 0:59.060,0:59.060,59.06,648.164,,8 0:59.136,0:59.136,59.136,648.856,,8 1:00.648,1:00.648,60.648,655.941,,8 0:58.692,0:58.692,58.692,646.238,,8 1:00.346,1:00.346,60.346,657.339,,8 0:58.236,0:58.236,58.236,644.656,,7,440.526,,155.426,,147.824,147.020,145.894,151.672,149.697,152.081,154.410,150.701,150.147,149.194,148.578,152.786,155.226,153.847,155.900,156.467,154.767
,,#VALUE!,#VALUE!,,9 0:58.746,0:58.746,58.746,714.396,,9 1:00.011,1:00.011,60.011,716.744,,9 1:00.000,1:00.000,60.000,712.802,,9 0:58.936,0:58.936,58.936,710.785,,9 1:00.554,1:00.554,60.554,715.626,,9 0:58.997,0:58.997,58.997,708.993,,9 0:59.452,0:59.452,59.452,710.129,,9 0:59.187,0:59.187,59.187,712.114,,9 0:58.710,0:58.710,58.710,708.172,,,,#VALUE!,#VALUE!,,9 0:58.789,0:58.789,58.789,705.963,,9 0:59.875,0:59.875,59.875,713.957,,9 1:00.054,1:00.054,60.054,718.073,,9 0:58.716,0:58.716,58.716,706.88,,9 0:58.667,0:58.667,58.667,707.523,,9 1:00.178,1:00.178,60.178,716.119,,9 0:58.284,0:58.284,58.284,704.522,,9 1:00.162,1:00.162,60.162,717.501,,9 0:58.059,0:58.059,58.059,702.715,,8,503.459,,152.191,,143.715,142.779,141.197,149.468,146.003,148.390,151.613,147.218,146.537,145.397,144.705,149.343,153.274,150.623,154.560,153.880,152.482
,,#VALUE!,#VALUE!,,10 0:58.095,0:58.095,58.095,772.491,,10 1:01.550,1:01.550,61.550,778.294,,10 0:58.940,0:58.940,58.940,771.742,,10 0:59.055,0:59.055,59.055,769.840,,10 1:00.107,1:00.107,60.107,775.733,,10 0:58.558,0:58.558,58.558,767.551,,10 0:58.794,0:58.794,58.794,768.923,,10 0:59.114,0:59.114,59.114,771.228,,10 0:58.894,0:58.894,58.894,767.066,,,,#VALUE!,#VALUE!,,10 0:58.779,0:58.779,58.779,764.742,,10 1:00.093,1:00.093,60.093,774.05,,10 1:00.674,1:00.674,60.674,778.747,,10 0:58.856,0:58.856,58.856,765.736,,10 0:58.888,0:58.888,58.888,766.411,,10 1:00.796,1:00.796,60.796,776.915,,10 0:58.458,0:58.458,58.458,762.98,,10 1:00.419,1:00.419,60.419,777.92,,10 0:58.329,0:58.329,58.329,761.044,,9,566.391,,148.005,,139.572,138.131,136.324,145.723,141.781,144.394,149.235,143.738,142.602,141.132,140.489,146.411,150.353,147.566,151.682,151.110,149.728
